Sample	Cq	SQ	sample_rep	tech_rep	dyp	stasjon	innsjo	fylke	volum	SQ_vol	lat	lon	provetatt
586	34.4944041	2.48114e-4	1	3	0	TV	Torskevannet	Svalbard	550	4.5111636363636365e-007	80.28408	22.59281	2021-09-10
586	NaN	NA	1	4	0	TV	Torskevannet	Svalbard	550	NA	80.28408	22.59281	2021-09-10
586	37.07641296	2.68e-5	1	5	0	TV	Torskevannet	Svalbard	550	4.872727272727273e-8	80.28408	22.59281	2021-09-10
584	37.64429594	1.81e-5	3	1	0	6	GJE	Finnmark	200	9.05e-8	69.58291	30.94154	2021-08-18
584	36.50733643	3.98e-5	3	2	0	6	GJE	Finnmark	200	1.99e-7	69.58291	30.94154	2021-08-18
584	35.9992992	5.67e-5	3	3	0	6	GJE	Finnmark	200	2.835e-7	69.58291	30.94154	2021-08-18
583	35.82178549	1.11849e-4	2	1	0	6	GJE	Finnmark	240	4.6603750000000005e-7	69.58291	30.94154	2021-08-18
583	36.48024237	7.53e-5	2	2	0	6	GJE	Finnmark	240	3.1375e-7	69.58291	30.94154	2021-08-18
583	34.67777722	2.22254e-4	2	3	0	6	GJE	Finnmark	240	9.260583333333333e-7	69.58291	30.94154	2021-08-18
582	35.02821875	1.80093e-4	1	1	0	6	GJE	Finnmark	400	4.5023250000000004e-7	69.58291	30.94154	2021-08-18
582	35.71788206	1.19047e-4	1	2	0	6	GJE	Finnmark	400	2.976175e-7	69.58291	30.94154	2021-08-18
582	33.95798409	3.42361e-4	1	3	0	6	GJE	Finnmark	400	8.559025e-7	69.58291	30.94154	2021-08-18
582	35.37493957	8.76e-5	1	4	0	6	GJE	Finnmark	400	2.1900000000000002e-7	69.58291	30.94154	2021-08-18
582	35.13640861	1.03372e-4	1	5	0	6	GJE	Finnmark	400	2.5843e-7	69.58291	30.94154	2021-08-18
581	36.08992903	5.33e-5	3	1	0	5	GJE	Finnmark	120	4.4416666666666667e-7	69.61512	30.9522	2021-08-18
