Sample	Cq	SQ	sample_rep	tech_rep	dyp	stasjon	innsjo	fylke	volum	SQ_vol	lat	lon	provetatt
594	37.0718120487316	8.67522329158212e-6	3	1	0	BT	Bretjørna	Svalbard	400	2.16880582289553e-8	77.95993	14.26745	2021-09-15
594	36.8772410598876	9.98348321974777e-6	3	2	0	BT	Bretjørna	Svalbard	400	2.4958708049369426e-8	77.95993	14.26745	2021-09-15
594	37.2515692440438	7.61944987878055e-6	3	3	0	BT	Bretjørna	Svalbard	400	1.9048624696951375e-8	77.95993	14.26745	2021-09-15
594	37.5172988212021	6.28945068219896e-6	3	4	0	BT	Bretjørna	Svalbard	400	1.57236267054974e-8	77.95993	14.26745	2021-09-15
594	36.8197839897356	1.04062892998617e-5	3	5	0	BT	Bretjørna	Svalbard	400	2.601572324965425e-8	77.95993	14.26745	2021-09-15
594	37.8846000069906	4.82455573607753e-6	3	6	0	BT	Bretjørna	Svalbard	400	1.2061389340193824e-8	77.95993	14.26745	2021-09-15
593	NaN	NA	2	1	0	BT	Bretjørna	Svalbard	260	NA	77.95993	14.26745	2021-09-15
593	38.6432611924425	2.14233237706121e-6	2	2	0	BT	Bretjørna	Svalbard	260	8.239739911773883e-9	77.95993	14.26745	2021-09-15
593	38.2097096998846	2.93800270243272e-6	2	3	0	BT	Bretjørna	Svalbard	260	1.1300010393972e-8	77.95993	14.26745	2021-09-15
593	NaN	NA	2	4	0	BT	Bretjørna	Svalbard	260	NA	77.95993	14.26745	2021-09-15
593	39.2791427135835	2.8034242387472e-6	2	5	0	BT	Bretjørna	Svalbard	260	1.0782400918258462e-8	77.95993	14.26745	2021-09-15
592	39.1232798440454	1.51015113083853e-6	1	1	0	BT	Bretjørna	Svalbard	260	5.808273580148192e-9	77.95993	14.26745	2021-09-15
592	NaN	NA	1	2	0	BT	Bretjørna	Svalbard	260	NA	77.95993	14.26745	2021-09-15
592	NaN	NA	1	3	0	BT	Bretjørna	Svalbard	260	NA	77.95993	14.26745	2021-09-15
592	39.2963317165759	2.76890115602971e-6	1	4	0	BT	Bretjørna	Svalbard	260	1.06496198308835e-8	77.95993	14.26745	2021-09-15
592	NaN	NA	1	5	0	BT	Bretjørna	Svalbard	260	NA	77.95993	14.26745	2021-09-15
591	34.2972290620481	6.42926422379974e-5	3	1	0	LS	Lovensjøen	Svalbard	260	2.472793932230669e-7	78.27182	13.77031	2021-09-15
591	34.1754884695107	7.0198703842298e-5	3	2	0	LS	Lovensjøen	Svalbard	260	2.699950147780692e-7	78.27182	13.77031	2021-09-15
591	34.0883142031709	7.47583591358853e-5	3	3	0	LS	Lovensjøen	Svalbard	260	2.875321505226358e-7	78.27182	13.77031	2021-09-15
591	33.7869490938103	9.29272377071211e-5	3	4	0	LS	Lovensjøen	Svalbard	260	3.5741245271969655e-7	78.27182	13.77031	2021-09-15
591	34.3556559819023	6.16372716194674e-5	3	5	0	LS	Lovensjøen	Svalbard	260	2.3706642930564385e-7	78.27182	13.77031	2021-09-15
591	33.9995204318586	7.97073133822789e-5	3	6	0	LS	Lovensjøen	Svalbard	260	3.065665899318419e-7	78.27182	13.77031	2021-09-15
590	36.0787177288597	1.38754528247582e-5	2	1	0	LS	Lovensjøen	Svalbard	380	3.651434953883737e-8	78.27182	13.77031	2021-09-15
590	35.5415982098583	2.05200755444562e-5	2	2	0	LS	Lovensjøen	Svalbard	380	5.400019880120052e-8	78.27182	13.77031	2021-09-15
590	35.46240615773	2.1738693011286e-5	2	3	0	LS	Lovensjøen	Svalbard	380	5.720708687180526e-8	78.27182	13.77031	2021-09-15
589	34.515923692025	4.33189459750281e-5	1	1	0	LS	Lovensjøen	Svalbard	460	9.4171621684843707e-008	78.27182	13.77031	2021-09-15
589	36.4957697209461	1.0240045198534e-5	1	2	0	LS	Lovensjøen	Svalbard	460	2.22609678229e-8	78.27182	13.77031	2021-09-15
589	35.9355109531478	1.54011932195918e-5	1	3	0	LS	Lovensjøen	Svalbard	460	3.348085482519956e-8	78.27182	13.77031	2021-09-15
588	23.6879676007752	0.136254707856136	3	1	0	TV	Torskevannet	Svalbard	550	2.477358324657018e-4	80.28408	22.59281	2021-09-10
588	23.5746817432605	0.147866103130229	3	2	0	TV	Torskevannet	Svalbard	550	2.6884746023678e-4	80.28408	22.59281	2021-09-10
588	23.7490085138698	0.130380942462795	3	3	0	TV	Torskevannet	Svalbard	550	2.3705625902326364e-4	80.28408	22.59281	2021-09-10
588	23.6007543024472	0.145109024079446	3	4	0	TV	Torskevannet	Svalbard	550	2.6383458923535637e-4	80.28408	22.59281	2021-09-10
588	23.7612958165235	0.12922954949143	3	5	0	TV	Torskevannet	Svalbard	550	2.3496281725714547e-4	80.28408	22.59281	2021-09-10
588	23.7798507597479	0.127510083155509	3	6	0	TV	Torskevannet	Svalbard	550	2.3183651482819816e-4	80.28408	22.59281	2021-09-10
587	26.0444706100056	0.02074165224851	2	1	0	TV	Torskevannet	Svalbard	550	3.771209499729091e-5	80.28408	22.59281	2021-09-10
587	26.0792593449146	0.0202226014896483	2	2	0	TV	Torskevannet	Svalbard	550	3.676836634481509e-5	80.28408	22.59281	2021-09-10
587	26.0700173546483	0.0203592121873143	2	3	0	TV	Torskevannet	Svalbard	550	3.701674943148055e-5	80.28408	22.59281	2021-09-10
586	22.232346731964	0.333356029748148	1	1	0	TV	Torskevannet	Svalbard	550	6.0610187226936e-4	80.28408	22.59281	2021-09-10
586	22.3892361260054	0.297352953877778	1	2	0	TV	Torskevannet	Svalbard	550	5.406417343232327e-4	80.28408	22.59281	2021-09-10
586	22.3636555079221	0.302946091548157	1	3	0	TV	Torskevannet	Svalbard	550	5.508110755421036e-4	80.28408	22.59281	2021-09-10
584	36.2278629649863	1.59541458237479e-5	3	1	0	6	GJE	Finnmark	200	7.97707291187395e-8	69.58291	30.94154	2021-08-18
584	38.118891826137	4.07382827386262e-6	3	2	0	6	GJE	Finnmark	200	2.0369141369313102e-8	69.58291	30.94154	2021-08-18
