"Sample","gen_specnm2","SQm","dlat","dlon","eval1","SQmean"
"1","500","E. lucius",98.6335225303797,59.2523523,10.3208257,"above zero",98.6335225303797
"2","501","E. lucius",82.1120293458833,59.2523523,10.3208257,"above zero",82.1120293458833
"3","502","E. lucius",94.3124461193024,59.2523523,10.3208257,"above zero",94.3124461193024
"4","503","E. lucius",47.083189495871,59.2523911,10.3321997,"above zero",47.083189495871
"5","504","E. lucius",38.8135932003123,59.2523911,10.3321997,"above zero",38.8135932003123
"6","505","E. lucius",46.4102205274951,59.2523911,10.3321997,"above zero",46.4102205274951
"7","506","E. lucius",24.0443349370774,59.2523911,10.3321997,"above zero",24.0443349370774
"8","507","E. lucius",65.8108219342548,59.2523911,10.3321997,"above zero",65.8108219342548
"9","508","E. lucius",52.7363585220288,59.2523911,10.3321997,"above zero",52.7363585220288
"10","509","E. lucius",205.840511950613,59.2418512,10.3319709,"above zero",205.840511950613
"11","510","E. lucius",Inf,59.2418512,10.3319709,"above zero",Inf
"12","511","E. lucius",129.287960688404,59.2418512,10.3319709,"above zero",129.287960688404
"13","512","E. lucius",253.637519182722,59.2418512,10.3319709,"above zero",253.637519182722
"14","513","E. lucius",547.956029400093,59.2418512,10.3319709,"above zero",547.956029400093
"15","514","E. lucius",259.644564966499,59.2418512,10.3319709,"above zero",259.644564966499
"16","515","E. lucius",431.353032161069,59.2346192,10.3202332,"above zero",431.353032161069
"17","516","E. lucius",601.53068329561,59.2346192,10.3202332,"above zero",601.53068329561
"18","517","E. lucius",604.89005345217,59.2346192,10.3202332,"above zero",604.89005345217
"19","519","E. lucius",27.5621809489534,59.2523523,10.3208257,"above zero",27.5621809489534
"20","520","E. lucius",14.6352146747027,59.2523523,10.3208257,"above zero",14.6352146747027
"21","521","E. lucius",20.5033577063029,59.2523523,10.3208257,"above zero",20.5033577063029
"22","522","E. lucius",39.9113346617157,59.2523911,10.3321997,"above zero",39.9113346617157
"23","523","E. lucius",28.8326069318684,59.2523911,10.3321997,"above zero",28.8326069318684
"24","524","E. lucius",32.7757110099715,59.2523911,10.3321997,"above zero",32.7757110099715
"25","525","E. lucius",21.3818095166015,59.2523911,10.3321997,"above zero",21.3818095166015
"26","526","E. lucius",36.3485255817214,59.2523911,10.3321997,"above zero",36.3485255817214
"27","527","E. lucius",32.7965991018965,59.2523911,10.3321997,"above zero",32.7965991018965
"28","528","E. lucius",Inf,59.2418512,10.3319709,"above zero",Inf
"29","529","E. lucius",Inf,59.2418512,10.3319709,"above zero",Inf
"30","530","E. lucius",Inf,59.2418512,10.3319709,"above zero",Inf
"31","531","E. lucius",18.2209277346162,59.2418512,10.3319709,"above zero",18.2209277346162
"32","531b","E. lucius",0,59.2418512,10.3319709,"zero",0
"33","532","E. lucius",25.3310837845343,59.2418512,10.3319709,"above zero",25.3310837845343
"34","534","E. lucius",68.9096770106922,59.2346192,10.3202332,"above zero",68.9096770106922
"35","535","E. lucius",113.604642955745,59.2346192,10.3202332,"above zero",113.604642955745
"36","536","E. lucius",4713.03977827537,59.2346192,10.3202332,"above zero",4713.03977827537
"37","596","E. lucius",209.977964272062,59.2523523,10.3208257,"above zero",209.977964272062
"38","597","E. lucius",20.940445067714,59.2523523,10.3208257,"above zero",20.940445067714
"39","598","E. lucius",16.8920386543814,59.2523523,10.3208257,"above zero",16.8920386543814
"40","599","E. lucius",54.2638501915254,59.2523911,10.3321997,"above zero",54.2638501915254
"41","600","E. lucius",21.1115420719243,59.2523911,10.3321997,"above zero",21.1115420719243
"42","601","E. lucius",16.6358089872002,59.2523911,10.3321997,"above zero",16.6358089872002
"43","602","E. lucius",14.232634445518,59.2523911,10.3321997,"above zero",14.232634445518
"44","603","E. lucius",29.1417851802561,59.2523911,10.3321997,"above zero",29.1417851802561
"45","604","E. lucius",9.90006560106729,59.2523911,10.3321997,"above zero",9.90006560106729
"46","605","E. lucius",7.13486796678402,59.2418512,10.3319709,"above zero",7.13486796678402
"47","606","E. lucius",14.3922274829396,59.2418512,10.3319709,"above zero",14.3922274829396
"48","607","E. lucius",26.6277682467764,59.2418512,10.3319709,"above zero",26.6277682467764
"49","608","E. lucius",13.1540950908458,59.2418512,10.3319709,"above zero",13.1540950908458
"50","609","E. lucius",56.6125519198524,59.2418512,10.3319709,"above zero",56.6125519198524
"51","610","E. lucius",12.0371459285927,59.2418512,10.3319709,"above zero",12.0371459285927
"52","611","E. lucius",48.1442059494369,59.2346192,10.3202332,"above zero",48.1442059494369
"53","612","E. lucius",44.4011438687554,59.2346192,10.3202332,"above zero",44.4011438687554
"54","613","E. lucius",51.7536900381635,59.2346192,10.3202332,"above zero",51.7536900381635
