Sample	Cq	SQ	sample_rep	tech_rep	dyp	stasjon	innsjo	fylke	volum	SQ_vol	lat	lon	provetatt
613	34.3573443180555	3.42373465301961e-4	3	1	0	2	Akersvannet	Vestfold	225	1.5216598457864933e-6	59.2346192	10.3202332	2021-10-19
613	33.8374903493765	4.92861722331826e-4	3	2	0	2	Akersvannet	Vestfold	225	2.1904965436970047e-6	59.2346192	10.3202332	2021-10-19
613	34.4132317648193	3.29222838224892e-4	3	3	0	2	Akersvannet	Vestfold	225	1.4632126143328533e-6	59.2346192	10.3202332	2021-10-19
612	34.4054563378912	3.95294672331381e-4	2	1	0	2	Akersvannet	Vestfold	225	1.7568652103616935e-6	59.2346192	10.3202332	2021-10-19
612	34.4802674649856	3.76038421626065e-4	2	2	0	2	Akersvannet	Vestfold	225	1.671281873893622e-6	59.2346192	10.3202332	2021-10-19
612	35.2318136352675	2.2769264308955e-4	2	3	0	2	Akersvannet	Vestfold	225	1.0119673026202223e-6	59.2346192	10.3202332	2021-10-19
611	34.4756608874143	3.5617965606217e-4	1	1	0	2	Akersvannet	Vestfold	225	1.5830206936096445e-6	59.2346192	10.3202332	2021-10-19
611	34.3216013720923	3.94908038084033e-4	1	2	0	2	Akersvannet	Vestfold	225	1.7551468359290356e-6	59.2346192	10.3202332	2021-10-19
611	34.5798835468867	3.32156939716127e-4	1	3	0	2	Akersvannet	Vestfold	225	1.476253065405009e-6	59.2346192	10.3202332	2021-10-19
610	36.6021728368709	7.09993588217281e-5	3	1	10	4	Akersvannet	Vestfold	205	3.463383357157468e-7	59.2418512	10.3319709	2021-10-19
610	36.4966374948517	7.64496704671321e-5	3	2	10	4	Akersvannet	Vestfold	205	3.729252217908883e-7	59.2418512	10.3319709	2021-10-19
610	36.1233081330486	9.93124622472909e-5	3	3	10	4	Akersvannet	Vestfold	205	4.844510353526386e-7	59.2418512	10.3319709	2021-10-19
609	34.9475178806933	2.75277119992152e-4	2	1	10	4	Akersvannet	Vestfold	200	1.37638559996076e-6	59.2418512	10.3319709	2021-10-19
609	34.0577455786065	4.98570905372004e-4	2	2	10	4	Akersvannet	Vestfold	200	2.49285452686002e-6	59.2418512	10.3319709	2021-10-19
609	34.552221976247	3.58403013032892e-4	2	3	10	4	Akersvannet	Vestfold	200	1.79201506516446e-6	59.2418512	10.3319709	2021-10-19
608	36.065462195459	1.22767357609944e-4	1	1	10	4	Akersvannet	Vestfold	205	5.988651590728975e-7	59.2418512	10.3319709	2021-10-19
608	37.8167535475724	3.79758736881792e-5	1	2	10	4	Akersvannet	Vestfold	205	1.8524816433258146e-7	59.2418512	10.3319709	2021-10-19
608	36.2441478212683	1.08915718064215e-4	1	3	10	4	Akersvannet	Vestfold	205	5.312961856790976e-7	59.2418512	10.3319709	2021-10-19
607	34.7543711958488	2.59214498383756e-4	3	1	0	4	Akersvannet	Vestfold	220	1.1782477199261636e-6	59.2418512	10.3319709	2021-10-19
607	35.4183692862177	1.62765355686044e-4	3	2	0	4	Akersvannet	Vestfold	220	7.398425258456546e-7	59.2418512	10.3319709	2021-10-19
607	35.4090573004123	1.6383104735928e-4	3	3	0	4	Akersvannet	Vestfold	220	7.446865789058182e-7	59.2418512	10.3319709	2021-10-19
606	36.6811645846548	8.65292414864435e-5	2	1	0	4	Akersvannet	Vestfold	195	4.4373969993047945e-7	59.2418512	10.3319709	2021-10-19
606	36.3597051877298	1.07240356243796e-4	2	2	0	4	Akersvannet	Vestfold	195	5.499505448399795e-7	59.2418512	10.3319709	2021-10-19
606	36.6751244757705	8.6878838187083e-5	2	3	0	4	Akersvannet	Vestfold	195	4.455325035235026e-7	59.2418512	10.3319709	2021-10-19
605	37.9757467566542	3.41385718262591e-5	1	1	0	4	Akersvannet	Vestfold	205	1.6652961866467852e-7	59.2418512	10.3319709	2021-10-19
605	37.3190965390055	5.3004357059351e-5	1	2	0	4	Akersvannet	Vestfold	205	2.5855783931390734e-7	59.2418512	10.3319709	2021-10-19
605	37.1560681358284	5.91218644334623e-5	1	3	0	4	Akersvannet	Vestfold	205	2.8839933869981613e-7	59.2418512	10.3319709	2021-10-19
604	36.3086118068828	8.72175585730907e-5	3	1	10	3	Akersvannet	Vestfold	230	3.7920677640474217e-7	59.2523911	10.3321997	2021-10-19
604	36.2784043263473	8.90836502940056e-5	3	2	10	3	Akersvannet	Vestfold	230	3.8732021866958955e-7	59.2523911	10.3321997	2021-10-19
604	37.0630967068393	5.14002999574514e-5	3	3	10	3	Akersvannet	Vestfold	230	2.2347956503239737e-7	59.2523911	10.3321997	2021-10-19
603	35.2294772094052	2.28048048095484e-4	2	1	10	3	Akersvannet	Vestfold	235	9.704172259382298e-7	59.2523911	10.3321997	2021-10-19
603	34.739496474414	3.16284774567481e-4	2	2	10	3	Akersvannet	Vestfold	235	1.3458926577339617e-6	59.2523911	10.3321997	2021-10-19
603	35.9550483876516	1.40499129073053e-4	2	3	10	3	Akersvannet	Vestfold	235	5.97868634353417e-7	59.2523911	10.3321997	2021-10-19
602	37.3120248146953	5.32560851288746e-5	1	1	10	3	Akersvannet	Vestfold	235	2.266216388462749e-7	59.2523911	10.3321997	2021-10-19
602	35.8382017081031	1.42958221820115e-4	1	2	10	3	Akersvannet	Vestfold	235	6.08332858809e-7	59.2523911	10.3321997	2021-10-19
602	35.8881579520399	1.38252602520684e-4	1	3	10	3	Akersvannet	Vestfold	235	5.883089468965277e-7	59.2523911	10.3321997	2021-10-19
601	36.2228418643312	9.26209507128015e-5	3	1	0	3	Akersvannet	Vestfold	188	4.926646314510718e-7	59.2523911	10.3321997	2021-10-19
601	36.4140709849612	8.1003897628987e-5	3	2	0	3	Akersvannet	Vestfold	188	4.3087179589886707e-7	59.2523911	10.3321997	2021-10-19
601	35.642266447351	1.39128360617576e-4	3	3	0	3	Akersvannet	Vestfold	188	7.400444713700851e-7	59.2523911	10.3321997	2021-10-19
600	35.6944213206252	1.67198694666991e-4	2	1	0	3	Akersvannet	Vestfold	185	9.03776727929681e-7	59.2523911	10.3321997	2021-10-19
600	36.9702960983635	7.13411044370943e-5	2	2	0	3	Akersvannet	Vestfold	185	3.8562759155186107e-7	59.2523911	10.3321997	2021-10-19
600	35.8369518709396	1.52023729226515e-4	2	3	0	3	Akersvannet	Vestfold	185	8.217498877108918e-7	59.2523911	10.3321997	2021-10-19
599	35.015716159329	2.4804395364547e-4	1	1	0	3	Akersvannet	Vestfold	185	1.3407781278133512e-6	59.2523911	10.3321997	2021-10-19
599	34.0810362623568	4.63973806322838e-4	1	2	0	3	Akersvannet	Vestfold	185	2.507966520663989e-6	59.2523911	10.3321997	2021-10-19
599	34.7729047616625	2.91863468574912e-4	1	3	0	3	Akersvannet	Vestfold	185	1.5776403706752e-6	59.2523911	10.3321997	2021-10-19
